film_name,film_year,production_company
Children of Fate: Life and Death in a Sicilian Family,1993,Archipelago Films
Maya Lin: A Strong Clear Vision,1994,American Film Foundation
The Battle Over Citizen Kane,1996,Lennon Documentary Group
Small Wonders,1995,Four Oaks Foundation
Troublesome Creek: A Midwestern,1995,West City Films
When We Were Kings,1996,PolyGram Filmed Entertainment
The Long Way Home,1997,Moriah Films
Colors Straight Up,1997,Echo Pictures
The Last Days,1998,Survivors of the Shoah Visual History Foundation
Dancemaker,1998,Four Oaks Foundation
Lenny Bruce: Swear to Tell the Truth,1998,Whyaduck Productions
Regret to Inform,1998,Sun Fountain Productions
Genghis Blues,1999,Wadi Rum Films
On the Ropes,1999,Highway Films
Speaking in Strings,1999,CounterPoint Films
Legacy,2000,Nomadic Pictures
Sound and Fury,2000,Public Policy Productions
Children Underground,2001,Belzberg Films
LaLee's Kin: The Legacy of Cotton,2001,Maysles Films Inc.
Promises,2001,Promises Film Project
War Photographer,2001,Christian Frei Filmproductions
The Story of the Weeping Camel,2003,Mongolkina
Super Size Me,2004,The Con
Street Fight,2005,Marshall Curry Productions
Deliver Us from Evil,2006,Disarming Films
Sicko,2007,Dog Eat Dog Films
The Garden,2008,Black Valley Films
Which Way Home,2009,Mr. Mudd
Exit Through the Gift Shop,2010,Paranoid Pictures
Gasland,2010,International WOW Company
Finding Vivian Maier,2013,Ravine Pictures
Last Days in Vietnam,2014,Moxie Firecracker Films
13th,2016,Kandoo Films
The Edge of Democracy,2019,Busca Vida Filmes
Writing With Fire,2021,Black Ticket Films
A House Made of Splinters,2022,Final Cut for Real
The Gay Divorcee,1934,RKO Radio Pictures
The Informer,1935,RKO Radio Pictures
Captain Blood,1935,Cosmopolitan Productions
Anthony Adverse,1936,Warner Bros. Pictures
The Charge of the Light Brigade,1936,Warner Bros. Pictures
The Garden of Allah,1936,Selznick International Pictures
One Hundred Men and a Girl,1937,Universal Pictures
The Hurricane,1937,Samuel Goldwyn Productions
In Old Chicago,1938,Darryl F. Zanuck Productions
Lost Horizon,1937,Columbia Pictures
Make a Wish,1937,Principal Productions
Maytime,1937,Metro-Goldwyn-Mayer
Portia on Trial,1937,Republic Pictures
The Prisoner of Zenda,1937,Selznick International Pictures
Quality Street,1937,RKO Radio Pictures
Snow White and the Seven Dwarfs,1937,Walt Disney Productions
Something to Sing About,1937,Zion Meyers Productions
Souls at Sea,1937,Paramount Pictures
Way Out West,1937,Hal Roach Studios
The Adventures of Robin Hood,1938,Warner Bros. Pictures
Army Girl,1938,Republic Pictures
Block-Heads,1938,Hal Roach Studios
Blockade,1938,Walter Wanger Productions
Breaking the Ice,1938,Principal Productions
The Cowboy and the Lady,1938,Samuel Goldwyn Productions
Marie Antoinette,1938,Metro-Goldwyn-Mayer
The Young in Heart,1938,Selznick International Pictures
Carefree,1938,RKO Radio Pictures
The Goldwyn Follies,1938,Samuel Goldwyn Productions
Jezebel,1938,Warner Bros.
Mad About Music,1938,Universal Pictures
Storm Over Bengal,1938,Republic Pictures
Sweethearts,1938,Metro-Goldwyn-Mayer
There Goes My Heart,1938,Hal Roach Studios
The Young in Heart,1938,Selznick International Pictures
The Wizard of Oz,1939,Metro-Goldwyn-Mayer
Dark Victory,1939,Warner Bros.
Eternally Yours,1939,Walter Wanger Productions
Golden Boy,1939,Columbia Pictures
Gulliver's Travels,1939,Fleischer Studios
The Man in the Iron Mask,1939,Edward Small Productions
Man of Conquest,1939,Republic Pictures
Nurse Edith Cavell,1939,Imperadio Pictures
Of Mice and Men,1939,Hal Roach
The Rains Came,1939,20th Century Fox
Wuthering Heights,1939,Samuel Goldwyn Productions
Stagecoach,1939,Walter Wanger Productions
Babes in Arms,1939,Metro-Goldwyn-Mayer
First Love,1939,Universal Pictures
The Hunchback of Notre Dame,1939,RKO Radio Pictures
Intermezzo,1939,Selznick International Pictures
Of Mice and Men,1939,Hal Roach
The Private Lives of Elizabeth and Essex,1939,Warner Bros. Pictures
She Married a Cop,1939,Republic Pictures
Swanee River,1939,20th Century-Fox
They Shall Have Music,1939,Samuel Goldwyn Productions
Way Down South,1939,Sol Lesser Productions
Pinocchio,1940,Walt Disney Productions
Arizona,1940,Columbia Pictures
Dark Command,1940,Republic Pictures
The Fight for Life,1940,United States Film Service
The Great Dictator,1940,Charles Chaplin Film Corporation
The House of the Seven Gables,1940,Universal Pictures Co.
The House of the Seven Gables,1940,
My Favorite Wife,1940,RKO Radio Pictures
Northwest Mounted Police,1940,Paramount Pictures
One Million B.C.,1940,Hal Roach Studios
Our Town,1940,Sol Lesser Productions
Rebecca,1940,Selznick International Pictures
The Thief of Bagdad,1940,London Films
Waterloo Bridge,1940,Metro-Goldwyn-Mayer
"Arise, My Love",1940,Paramount Pictures
Hit Parade of 1941,1940,Republic Pictures
Our Town,1940,Sol Lesser Productions
Second Chorus,1940,Paramount Pictures
Spring Parade,1940,Universal Studios
Strike Up the Band,1940,Metro-Goldwyn-Mayer
The Devil and Daniel Webster,1941,William Dieterle Productions
Back Street,1941,Universal Pictures
Ball of Fire,1941,Samuel Goldwyn Productions
Cheers for Miss Bishop,1941,Richard A. Rowland Productions
Dr. Jekyll and Mr. Hyde,1941,Metro-Goldwyn-Mayer
Hold Back the Dawn,1941,Paramount Pictures
How Green Was My Valley,1941,Twentieth Century Fox
Ladies in Retirement,1941,Columbia Pictures
The Little Foxes,1941,Samuel Goldwyn Productions
Mercy Island,1941,Republic Pictures
Sergeant York,1941,Warner Bros.
So Ends Our Night,1941,David L. Loew-Albert Lewin Productions
Sundown,1941,Walter Wanger Productions
Suspicion,1941,RKO Radio Pictures
Tanks a Million,1941,Hal Roach Studios
This Woman is Mine,1941,Frank Lloyd Productions
Dumbo,1941,Walt Disney Productions
All-American Co-ed,1941,"Hal Roach Studios, Inc."
Birth of the Blues,1941,Paramount Pictures
Buck Privates,1941,Universal Pictures
The Chocolate Soldier,1941,Metro-Goldwyn-Mayer
Ice-Capades,1941,Republic Pictures
The Strawberry Blonde,1941,Warner Bros.
Sun Valley Serenade,1941,Twentieth Century Fox
Sunny,1941,Suffolk Productions
You'll Never Get Rich,1941,Columbia Pictures
Arabian Nights,1942,Walter Wanger presents
Bambi,1942,Walt Disney Productions
The Corsican Brothers,1941,Edward Small Productions
Flying Tigers,1942,Republic Pictures
I Married a Witch,1942,Paramount Pictures
Joan of Paris,1942,RKO Radio Pictures
Klondike Fury,1942,King Brothers Productions
The Pride of the Yankees: The Life of Lou Gehrig,1942,Samuel Goldwyn Productions
Random Harvest,1942,Metro-Goldwyn-Mayer
The Shanghai Gesture,1941,Arnold Pressburger Films
Silver Queen,1942,United Artists
The Talk of the Town,1942,Columbia Pictures
To Be or Not to Be,1942,
Flying with Music,1942,Hal Roach Studios
For Me and My Gal,1942,Metro-Goldwyn-Mayer
Holiday Inn,1942,Paramount Pictures
It Started with Eve,1941,Universal Pictures
Johnny Doughboy,1942,Republic Pictures
You Were Never Lovelier,1942,Columbia Pictures
The Amazing Mrs. Holliday,1943,Universal Pictures
Casablanca,1942,"Warner Bros. Pictures, Inc."
Commandos Strike at Dawn,1942,Columbia Pictures
The Fallen Sparrow,1943,RKO Radio Pictures
For Whom the Bell Tolls,1943,Paramount Pictures
Hangmen Also Die!,1943,Arnold Pressburger Films
Hi Diddle Diddle,1943,Andrew L. Stone Productions
In Old Oklahoma,1943,Republic Pictures
Johnny Come Lately,1943,William Cagney Productions
The Kansan,1943,Harry Sherman Productions
Madame Curie,1943,Metro-Goldwyn-Mayer
The North Star,1943,Samuel Goldwyn Productions
Victory Through Air Power,1943,Walt Disney Productions
This Is the Army,1943,Warner Bros.
Hit Parade of 1943,1943,Republic Pictures
Phantom of the Opera,1943,Universal Pictures
Saludos Amigos,1942,Walt Disney Productions
Stage Door Canteen,1943,Principal Artists Productions
Thousands Cheer,1943,Metro-Goldwyn-Mayer
Address Unknown,1944,Columbia Pictures
The Adventures of Mark Twain,1944,Warner Bros.
The Bridge of San Luis Rey,1944,Benedict Bogeaus Productions
Christmas Holiday,1944,Universal Pictures
Double Indemnity,1944,Paramount Pictures
The Fighting Seabees,1944,Republic Pictures
The Hairy Ape,1944,Mayfair Productions Inc.
It Happened Tomorrow,1944,Arnold Pressburger Films
Jack London,1943,Samuel Bronston Productions
Kismet,1944,Metro-Goldwyn-Mayer
The Princess and the Pirate,1944,Samuel Goldwyn Productions
Up in Mabel's Room,1944,Edward Small Productions
Voice in the Wind,1944,Ripley/Monter Productions
The Woman of the Town,1943,Harry Sherman Productions
Cover Girl,1944,Columbia Pictures
Brazil,1944,Republic Pictures
Hollywood Canteen,1944,Warner Bros.
Knickerbocker Holiday,1944,Producers Corporation of America
Meet Me in St. Louis,1944,Metro-Goldwyn-Mayer
The Merry Monahans,1944,Universal Pictures
Up in Arms,1944,Samuel Goldwyn Productions
The Bells of St. Mary's,1945,Rainbow Productions
Brewster's Millions,1945,Edward Small Productions
Flame of Barbary Coast,1945,Republic Pictures
G.I. Honeymoon,1945,Monogram Pictures
Guest in the House,1944,Hunt Stromberg Productions
Guest Wife,1945,Greentree Productions
The Lost Weekend,1945,Paramount Pictures
Love Letters,1945,Hal Wallis Productions
"Objective, Burma!",1945,Warner Bros.
Paris Underground,1945,Constance Bennett Productions
A Song to Remember,1945,Columbia Pictures
This Love of Ours,1945,Universal Pictures
The Woman in the Window,1944,International Pictures
Belle of the Yukon,1944,International Pictures
Can't Help Singing,1944,Universal Pictures
Hitchhike to Happiness,1945,Republic Pictures
Incendiary Blonde,1945,Paramount Pictures
Sunbonnet Sue,1945,Monogram Pictures
The Three Caballeros,1944,Walt Disney Productions
Why Girls Leave Home,1945,Producers Releasing Corporation
Wonder Man,1945,Samuel Goldwyn Productions
