movie_id,movie_name,run_time,run_time
205,Cat on a Hot Tin Roof,,108.0
206,The Defiant Ones,,96.0
207,Separate Tables,,100.0
208,Ben-Hur,,212.0
209,Anatomy of a Murder,,160.0
210,The Diary of Anne Frank,,179.0
211,The Nun's Story,,152.0
212,Room at the Top,,115.0
213,The Apartment,,125.0
214,John Wayne,,
215,Bernard Smith,,
216,Jerry Wald,,
217,Fred Zinnemann,,
218,Robert Wise,,
219,Joshua Logan,,
220,Carl Foreman,,
221,Robert Rossen,,
222,Stanley Kramer,,
223,Sam Spiegel,,
224,Morton DaCosta,,
225,Aaron Rosenberg,,
226,Alan J. Pakula,,
227,Tony Richardson,,
228,Elia Kazan,,
229,Walter Wanger,,
230,Ralph Nelson,,
231,Jack L. Warner,,
232,Hal B. Wallis,,
233,Stanley Kubrick,,
234,Walt Disney,,
235,Michael Cacoyannis,,
236,Joseph Janni,,
237,Carlo Ponti,,
238,Fred Coe,,
239,Lewis Gilbert,,
240,Norman Jewison,,
241,Ernest Lehman,,
242,Walter Mirisch,,
243,Warren Beatty,,
244,Arthur P. Jacobs,,
245,Lawrence Turman,,
246,John Woolf,,
247,Ray Stark,,
248,Martin Poll,,
249,Paul Newman,,
250,Anthony Havelock-Allan,,
251,Jerome Hellman,,
252,John Foreman,,
253,Jacques Perrin,,
254,Patton,,172.0
255,Ross Hunter,,
256,Bob Rafelson,,
257,Howard G. Minsky,,
258,Ingo Preminger,,
259,Philip D'Antoni,,
260,Stephen J. Friedman,,
261,Albert S. Ruddy,,
262,Cy Feuer,,
263,John Boorman,,
264,Bengt Forslund,,
265,Robert B. Radnitz,,
266,Tony Bill,,
267,Francis Ford Coppola,,
268,Ingmar Bergman,,
269,William Peter Blatty,,
270,Melvin Frank,,
271,Robert Evans,,
272,Marvin Worth,,
273,Irwin Allen,,
274,Michael Douglas,,
275,Martin Bregman,,
276,Richard D. Zanuck,,
277,Robert Altman,,
278,Irwin Winkler,,
279,Walter Coblenz,,
280,Robert F. Blumofe,,
281,Howard Gottfried,,
282,Michael Phillips,,
283,Charles H. Joffe,,
284,Richard Roth,,
285,Gary Kurtz,,
286,Herbert Ross,,
287,Barry Spikings,,
288,Alan Marshall,,
289,Paul Mazursky,,
290,Stanley R. Jaffe,,
291,Robert Alan Aurthur,,
292,Peter Yates,,
293,Tamara Asseyev and Alex Rose,,
294,Ordinary People,,124.0
295,Bernard Schwartz,,
296,Jonathan Sanger,,
297,Claude Berri,,
298,David Puttnam,,
299,Denis Héroux,,
300,Bruce Gilbert,,
301,Frank Marshall,,
302,Richard Attenborough,,
303,Steven Spielberg,,
304,Edward Lewis and Mildred Lewis,,
305,Sydney Pollack,,
306,James L. Brooks,,
307,Michael Shamberg,,
308,Philip S. Hobel,,
309,Saul Zaentz,,
310,John Brabourne,,
311,Arlene Donovan,,
312,David Weisman,,
313,Edward S. Feldman,,
314,Arnold Kopelson,,
315,Burt Sugarman,,
316,Robert Greenhut,,
317,Fernando Ghia,,
318,Ismail Merchant,,
319,Jeremy Thomas,,
320,Mark Johnson,,
321,Lawrence Kasdan,,
322,Norma Heyman,,
323,Frederick Zollo,,
324,Douglas Wick,,
325,A. Kitman Ho,,
326,Steven Haft,,
327,Lawrence Gordon,,
328,Noel Pearson,,
329,Dances With Wolves,,181.0
330,Walter Parkes,,
331,Lisa Weinstein,,
332,Edward Saxon,,
333,Don Hahn,,
334,Barbra Streisand,,
335,Clint Eastwood,,
336,Stephen Woolley,,
337,David Brown,,
338,Martin Brest,,
339,Jim Sheridan,,
340,Jan Chapman,,
341,Mike Nichols,,
342,Wendy Finerman,,
343,Duncan Kenworthy,,
344,Lawrence Bender,,
345,Michael Jacobs,,
346,Niki Marvin,,
347,Mel Gibson,,
348,Brian Grazer,,
349,Bill Miller,,
350,Mario Cecchi Gori,,
351,Lindsay Doran,,
352,Ethan Coen,,
353,Simon Channing-Williams,,
354,Jane Scott,,
355,James Cameron,,
356,Uberto Pasolini,,
357,Curtis Hanson,,
358,David Parfitt,,
359,Alison Owen,,
360,Elda Ferri,,
361,Grant Hill,,
362,Bruce Cohen,,
363,Richard N. Gladstein,,
364,Frank Darabont,,
365,Pieter Jan Brugge,,
366,Gladiator,,155.0
367,William Kong,,
368,Danny DeVito,,
369,Edward Zwick,,
370,Ross Katz,,
371,Peter Jackson,,
372,Baz Luhrmann,,
373,Martin Richards,,
374,Alberto Grimaldi,,
375,Scott Rudin,,
376,Barrie M. Osborne,,
377,Roman Polanski,,
378,Samuel Goldwyn Jr.,,
379,Robert Lorenz,,
380,Kathleen Kennedy,,
381,Michael Mann,,
382,Taylor Hackford,,
383,Michael London,,
384,Paul Haggis,,
385,Diana Ossana,,
386,Caroline Baron,,
387,Grant Heslov,,
388,Graham King,,
389,Alejandro González Iñárritu,,
390,David T. Friendly,,
391,Andy Harries,,
392,Tim Bevan,,
393,Mason Novick,,
394,Jennifer Fox,,
395,Paul Thomas Anderson,,
396,Christian Colson,,
397,Ron Howard,,
398,Anthony Minghella,,
399,Kathryn Bigelow,,
400,Andrew A. Kosove,,
401,Finola Dwyer,,
402,Lee Daniels,,
403,Joel Coen,,
404,Jonas Rivera,,
405,Daniel Dubiecki,,
406,The King's Speech,,119.0
407,Mike Medavoy,,
408,David Hoberman,,
409,Christopher Nolan,,
410,Gary Gilbert,,
411,Danny Boyle,,
412,Dana Brunetti,,
413,Darla K. Anderson,,
414,Alix Madigan,,
415,Thomas Langmann,,
416,Jim Burke,,
417,Brunson Green,,
418,Letty Aronson,,
419,Michael De Luca,,
420,Sarah Green,,
421,Margaret Menegoz,,
422,"Dan Janvey, Josh Penn, and Michael Gottwald",,
423,Stacey Sher,,
424,Ang Lee,,
425,Donna Gigliotti,,
426,Mark Boal,,
427,Brad Pitt,,
428,Charles Roven,,
429,Robbie Brenner,,
430,Alfonso Cuarón,,
431,Megan Ellison,,
432,Albert Berger,,
433,Gabrielle Tana,,
434,Martin Scorsese,,
435,Alejandro G. Iñárritu,,
436,Richard Linklater,,
437,Wes Anderson,,
438,Nora Grossman,,
439,Jason Blum,,
440,Blye Pagon Faust,,
441,Dede Gardner,,
442,Doug Mitchell,,
443,Simon Kinberg,,
444,Arnon Milchan,,
445,Ed Guiney,,
446,Adele Romanski,,
447,Shawn Levy,,
448,Bill Mechanic,,
449,Carla Hacken,,
450,Fred Berger,,
451,Emile Sherman,,
452,Matt Damon,,
453,Guillermo del Toro,,
454,Peter Spears,,
455,Emma Thomas,,
456,Sean McKittrick,,
457,JoAnne Sellar,,
458,Amy Pascal,,
459,Graham Broadbent,,
460,Kevin Feige,,
461,Gabriela Rodríguez,,
462,Bill Gerber,,
463,Parasite,,132.0
464,Peter Chernin,,
465,Carthew Neal,,
466,Todd Phillips,,
467,Noah Baumbach,,
468,Sam Mendes,,
469,David Heyman,,
470,Nomadland,,108.0
471,Shaka King,,
472,Ceán Chaffin,,
473,Christina Oh,,
474,Emerald Fennell,,
475,Bert Hamelinck and Sacha Ben Harroche,,
476,Marc Platt,,
477,CODA,,111.0
478,Kenneth Branagh,,
479,Adam McKay,,
480,Teruhisa Yamamoto,,
481,Mary Parent,,
482,Tim White,,
483,Sara Murphy,,
484,Jane Campion,,
485,Everything Everywhere All at Once,,139.0
486,Malte Grunert,,
487,Kristie Macosko Krieger,,
488,Todd Field,,
489,Tom Cruise,,
490,Erik Hemmendorff and Philippe Bober,,
491,Oppenheimer,,180.0
492,Cord Jefferson,,
493,Marie-Ange Luciani,,
494,Dan Friedkin,,
495,Bradley Cooper,,
496,David Hinojosa,,
497,James Wilson,,
498,Anora,,139.0
499,D.J. Gugenheim,,
500,Tessa Ross,,
501,Pascal Caucheteux,,
502,Rodrigo Teixeira,,
503,Coralie Fargeat,,
504,All Quiet on the Western Front,,147.0
505,Clarence Brown,,
506,Robert Z. Leonard,,
507,Ernst Lubitsch,,
508,King Vidor,,
509,(4th),,
510,Lewis Milestone,,
511,Wesley Ruggles,,
512,Josef von Sternberg,,
513,(5th),,
514,(6th),,
515,Frank Capra,,
516,George Cukor,,
517,(7th),,
518,Victor Schertzinger,,
519,W. S. Van Dyke,,
520,(8th),,
521,Henry Hathaway,,
522,Frank Lloyd,,
523,Michael Curtiz,,
524,(9th),,
525,Gregory La Cava,,
526,William Wyler,,
527,(10th),,
528,William Dieterle,,
529,Sidney Franklin,,
530,William A. Wellman,,
531,(11th),,
532,Norman Taurog,,
533,(12th),,
534,John Ford,,
535,Sam Wood,,
536,Alfred Hitchcock,,
537,(14th),,
538,Alexander Hall,,
539,Howard Hawks,,
540,Orson Welles,,
541,(15th),,
542,John Farrow,,
543,Mervyn LeRoy,,
544,(16th),,
545,Henry King,,
546,George Stevens,,
547,(17th),,
548,Otto Preminger,,
549,Billy Wilder,,
550,(18th),,
551,Leo McCarey,,
552,Jean Renoir,,
553,(19th),,
554,David Lean,,
555,Robert Siodmak,,
556,(20th),,
557,Edward Dmytryk,,
558,Henry Koster,,
559,(21st),,
560,Anatole Litvak,,
561,Jean Negulesco,,
562,Laurence Olivier,,
563,(22nd),,
564,Carol Reed,,
565,All About Eve,,138.0
566,John Huston,,
567,(24th),,
568,Vincente Minnelli,,
569,(25th),,
570,Cecil B. DeMille,,
571,Joseph L. Mankiewicz,,
572,(26th),,
573,Charles Walters,,
574,(27th),,
575,George Seaton,,
576,(28th),,
577,John Sturges,,
578,(29th),,
579,Michael Anderson,,
580,Walter Lang,,
581,(30th),,
582,Sidney Lumet,,
583,Mark Robson,,
584,(31st),,
585,Richard Brooks,,
586,(32nd),,
587,Jack Clayton,,
