pd_id,company_name
237,Mansfield Productions
238,Highroad Productions
239,Hunter-Fields Productions
240,Mosfilm
241,Brentwood Productions
242,Seven Arts Productions
243,Woodfall Film Productions
244,Casey Productions
245,The Mirisch Corporation
246,The Kohlmar-Sidney Company
247,Llenroc Productions
248,P-C Productions
249,International Classics
250,George Stevens Productions
251,Harold Hecht Corporation
252,Shepperton Studios
253,A Robert Wise Production
254,Ross Hunter Productions
255,Jalem Productions
256,Pax Enterprises
257,Warner Bros.-Seven Arts
258,Red Lion Productions
259,Haworth Productions
260,Romulus Films
261,Rastar
262,The Stanley Kramer Corporation
263,Chenault Productions
264,Irving Allen Productions
265,Robert Wise Productions
266,Geoffrey Productions
267,Cinema Center Films
268,Mulligan-Roth Productions
269,Shaft Productions
270,Russflix
271,Celebrated Productions
272,Hemdale Film Corporation
273,Palomar Pictures International
274,ABC Pictures Corp.
275,Motown Productions
276,Produzioni Europee Associati (PEA)
277,Sanford Productions
278,Brut Productions
279,Reader's Digest
280,Newdon Productions
281,Stanley Donen Films
282,Harbor Productions
283,Fantasy Films
284,Yellowbird Productions
285,The Malpaso Company
286,ITC Entertainment
287,Lucasfilm Ltd.
288,Eon Productions
289,Casablanca FilmWorks
290,Orion Pictures
291,Brooksfilms
292,Lorimar Productions
293,Zoetrope Studios
294,The Ladd Company
295,Thorn EMI Films
296,Delphi II Productions
297,Purple Films
298,Mirage Enterprises
299,Delphi III Productions
300,Edward S. Feldman Productions
301,Brandywine Productions
302,Goldcrest Films
303,Marble Arch Productions
304,The Guber-Peters Company
305,Walt Disney Feature Animation
306,Gordon Company
307,Baltimore Pictures
308,Hill/Obst Productions
309,Cappa Productions
310,Kopelson Entertainment
311,Merchant Ivory Productions
312,The Geffen Film Company
313,DiNovi Pictures
314,Castle Rock Entertainment
315,Pixar Animation Studios
316,Hollywood Pictures
317,Tiger Moth Productions
318,Scott Rudin Productions
319,HBO Pictures
320,The Wolper Organization
321,Melampo Cinematografica
322,Larger Than Life Productions
323,Jinks/Cohen Company
324,FilmColony
325,River Road Entertainment
326,DreamWorks Animation
327,Annapurna Pictures
328,Heyday Films
329,Plan B
330,Walt Disney Animation Studios
331,Palomar Pictures
332,Frankovich Productions
333,Faraway Productions
334,Newman-Foreman Company
335,Bing Crosby Productions
336,First Artists
337,The Directors Company
338,The Filmakers Group
339,Filmways Pictures
340,Long Road Productions
341,Dino De Laurentiis Corporation
342,Amjo Productions
343,Chartoff-Winkler Productions
344,EMI
345,Lassie Productions
346,Overbrook Entertainment
347,Emanuel Cohen Productions
348,Mayfair Productions
349,Chas. K. Feldman Group Productions
350,Walter Lantz Productions
351,MetroGoldwynMayer
352,Metro Goldwyn Mayer
353,Hope Enterprises
354,York Pictures Corporation
355,The Beckworth Corporation
356,Otto Preminger Films (uncredited)
357,Arwin Productions
358,Beachwold Productions
359,Baroda Productions
360,C.V. Whitney Pictures
361,Melina Film
362,Franton Productions
363,Mirisch Company
364,Amro Productions
365,Embassy Pictures
366,Filmways
367,Sheldrake Films
368,William Conrad Productions
369,Everglades Productions
370,Boardwalk Productions
371,G.B.C.-Edric-Isracine Productions
372,Crown International Pictures
373,Crossbow Productions
374,Hemdale Film Distribution Ltd.
375,ABC Motion Pictures
376,First American Films
377,Mondial International
378,The Mirisch Company
379,IPC Films
380,Rastar Films
381,Major Studio Partners
382,PolyGram Pictures
383,Timberlane Productions
384,IndieProd
385,Don Simpson/Jerry Bruckheimer Films
386,Delphi V Productions
387,Great American Films Limited Partnership
388,Morgan Creek Productions
389,Northern Lights Entertainment
390,American Zoetrope
391,TriStar Pictures
392,Kennedy Miller Productions
393,Craven/Maddalena Productions
394,Konrad Pictures
395,Klasky Csupo
396,New Deal Entertainment
397,Belladonna Productions
398,PCH Films
399,Lion's Gate Films
400,A Cosmopolitan Production
401,Paramount Famous Lasky Corp.
402,The Caddo Company
403,Fox Film Corporation
404,First National Pictures
405,The Vitaphone Corporation
406,London Film Productions
407,Twentieth Century Pictures
408,Columbia Pictures Corp. of Calif. LTD.
409,Metro-Goldwyn-Mayer British
410,Ortus Films
411,Liberty Films
412,Cineguild
413,Warner Bros.-First National
414,Motion Picture Associates
415,Orion-Nova Productions
416,Avon Productions
417,Rossen Enterprises
418,Highland Films
419,Elmer Enterprises
420,Svensk Filmindustri
421,Artists Entertainment Complex
422,Wildwood Enterprises
423,Hera Productions
424,Stanley Jaffe Productions
425,Omni Zoetrope
426,"Wildwood Enterprises, Inc"
427,Carson Productions
428,A Jack Rollins and Charles H. Joffe Production
429,Gracie Films
430,Jaffe/Lansing Productions
431,Strong Heart Productions
432,Hell's Kitchen Films
433,LuckyChap Entertainment
434,DreamWorks Animation SKG
435,Studio Ghibli
436,Laika
437,Starburns Industries
438,Filme de Papel
439,Studio Chizu
440,Xilam Animation
441,Netflix Animation
442,Aardman Animations
443,Twentieth Century-Fox Film Corporation
444,The Play's The Thing Productions
445,"Universal Pictures Company, Inc."
446,Torneen Productions
447,B.D. Production
448,Vanguard Films
449,Argosy Pictures
450,Associated British Picture Corporation
