nomination_id,person_id
2,136
3,149
3,144
3,145
4,150
5,158
6,174
6,168
8,181
8,180
9,188
9,194
9,187
10,136
11,136
12,203
14,212
15,221
16,158
17,187
18,232
19,175
19,239
20,149
21,253
22,149
23,262
24,174
26,253
27,283
29,8
29,257
30,283
31,253
32,300
33,174
34,149
35,319
36,326
37,262
38,283
39,283
40,350
41,175
41,136
42,174
43,283
44,372
45,283
46,174
47,253
48,149
49,319
50,283
51,253
52,174
53,334
54,149
55,203
56,283
57,262
58,283
59,283
60,372
61,283
62,326
63,388
64,262
65,283
66,203
67,283
68,462
69,262
70,326
71,174
73,8
74,479
75,462
76,283
77,283
78,479
79,498
80,149
81,283
82,283
83,343
84,479
85,283
86,174
87,262
88,283
89,526
90,536
91,283
94,149
95,536
96,462
98,174
99,149
100,558
100,559
101,563
102,283
103,145
104,283
105,572
106,262
107,253
108,203
109,149
110,149
111,149
112,174
113,278
114,598
115,149
116,572
117,462
118,203
119,283
120,262
121,253
122,149
123,217
124,253
125,462
126,283
128,283
129,262
130,462
131,462
132,149
133,398
134,253
135,283
136,343
137,462
138,518
139,283
141,149
142,343
143,203
146,462
147,283
148,145
149,203
150,174
151,693
152,462
153,37
154,149
155,709
156,462
157,149
158,715
159,283
160,253
161,462
162,462
163,727
164,262
165,283
166,283
167,253
168,743
169,541
169,749
170,354
171,737
172,755
173,293
174,762
175,302
176,771
177,202
177,263
178,779
179,784
180,634
181,413
182,354
183,797
184,762
185,638
186,806
187,723
188,818
189,779
190,822
191,823
192,217
193,826
194,413
195,354
195,832
196,518
197,293
198,797
199,845
199,846
200,662
201,314
202,399
203,743
204,144
205,416
206,762
207,818
208,737
209,877
210,354
211,388
212,884
212,885
213,519
221,890
222,891
229,892
235,893
242,894
245,895
251,896
252,897
256,898
258,899
259,900
260,901
263,749
265,907
271,908
272,909
273,910
275,911
278,912
279,913
280,914
281,915
283,916
285,917
287,918
289,919
290,920
293,921
297,922
298,923
299,924
303,925
307,926
308,927
310,928
311,929
312,930
313,932
316,937
318,938
321,939
324,940
326,941
327,942
328,943
332,944
336,945
337,946
341,947
345,948
348,949
350,950
352,951
353,952
355,953
356,954
357,955
358,956
360,957
361,958
362,959
363,965
363,960
364,966
366,967
367,968
370,969
372,970
373,971
374,972
375,973
378,974
380,975
381,976
383,977
384,978
385,979
387,980
388,981
391,982
395,983
399,984
400,985
401,986
403,987
405,988
406,989
412,990
413,999
413,992
413,1000
415,1001
419,1002
420,1003
421,1004
422,1005
424,1006
426,1007
428,1008
430,1009
433,1010
437,1011
439,1012
441,1013
443,1014
445,1015
446,1016
448,1017
452,1018
453,1019
458,1020
462,1022
463,1023
465,1024
468,1031
468,1032
468,1033
470,1034
471,1035
474,1037
477,1039
479,1040
483,1041
489,1042
490,1043
494,1044
495,1045
497,1046
499,1047
506,1048
508,1049
509,1050
517,1051
524,1052
526,1053
527,1054
530,1055
534,1056
536,1057
538,1058
541,1059
543,1060
547,1062
547,1067
548,1068
549,1069
550,1070
553,1071
555,1072
556,1074
556,1075
556,1076
556,1073
558,1079
559,1080
561,1081
562,1082
564,1089
566,1090
570,1091
574,1099
574,1100
576,1101
577,1102
579,1103
580,1104
581,1105
582,1106
584,1112
584,1113
584,1107
586,1114
588,1115
594,1119
594,1120
594,1116
595,1121
596,1122
598,1123
599,1124
601,1125
602,1126
605,136
606,149
606,144
606,145
607,150
608,158
609,174
609,168
611,181
611,180
612,188
612,194
612,187
613,136
614,136
615,203
617,212
618,221
619,158
620,187
621,232
622,175
622,239
623,149
624,253
625,149
626,262
627,174
629,253
630,283
632,8
632,257
633,283
634,253
635,300
636,174
637,149
638,319
639,326
640,262
641,283
642,283
643,350
644,175
644,136
645,174
646,283
647,372
648,283
649,174
650,253
651,149
652,319
653,283
654,253
655,174
656,334
657,149
658,203
659,283
660,262
661,283
662,283
663,372
664,283
665,326
666,388
667,262
668,283
669,203
670,283
671,462
672,262
673,326
674,174
676,8
677,479
678,462
679,283
680,283
681,479
682,498
683,149
684,283
685,283
686,343
687,479
688,283
689,174
690,262
691,283
692,526
693,536
694,283
697,149
698,536
699,462
701,174
702,149
703,558
703,559
704,563
705,283
706,145
707,283
708,572
709,262
710,253
711,203
712,149
713,149
714,149
715,174
716,278
717,598
718,149
719,572
720,462
721,203
722,283
723,262
724,253
725,149
726,217
727,253
728,462
729,283
731,283
732,262
733,462
734,462
735,149
736,398
737,253
738,283
739,343
740,462
741,518
742,283
744,149
745,343
746,203
749,462
750,283
751,145
752,203
753,174
754,693
755,462
756,37
757,149
758,709
759,462
760,149
761,715
762,283
763,253
764,462
765,462
766,727
767,262
768,283
769,283
770,253
771,743
772,541
772,749
773,354
774,737
775,755
776,293
777,762
778,302
779,771
780,202
780,263
781,779
782,784
783,634
784,413
785,354
786,797
787,762
788,638
789,806
790,723
791,818
792,779
793,822
794,823
795,217
796,826
797,413
798,354
798,832
799,518
800,293
801,797
802,845
802,846
803,662
804,314
805,399
806,743
807,144
808,416
809,762
810,818
811,737
812,877
813,354
814,388
815,884
815,885
816,519
824,890
825,891
832,892
838,893
845,894
848,895
854,896
855,897
859,898
861,899
862,900
863,901
866,749
868,907
874,908
875,909
876,910
878,911
881,912
882,913
883,914
884,915
886,916
888,917
890,918
892,919
893,920
896,921
900,922
901,923
902,924
906,925
910,926
911,927
913,928
914,929
915,930
916,932
919,937
921,938
924,939
927,940
929,941
930,942
931,943
935,944
939,945
940,946
944,947
948,948
951,949
953,950
955,951
956,952
958,953
959,954
960,955
961,956
963,957
964,958
965,959
966,965
966,960
967,966
969,967
970,968
973,969
975,970
976,971
977,972
978,973
981,974
983,975
984,976
986,977
987,978
988,979
990,980
991,981
994,982
998,983
1002,984
1003,985
1004,986
1006,987
1008,988
1009,989
1015,990
1016,999
1016,992
1016,1000
1018,1001
1022,1002
1023,1003
1024,1004
1025,1005
1027,1006
1029,1007
1031,1008
1033,1009
1036,1010
1040,1011
1042,1012
1044,1013
1046,1014
1048,1015
1049,1016
1051,1017
1055,1018
1056,1019
1061,1020
1065,1022
1066,1023
1068,1024
1071,1031
1071,1032
1071,1033
1073,1034
1074,1035
1077,1037
1080,1039
1082,1040
1086,1041
1092,1042
1093,1043
1097,1044
1098,1045
1100,1046
1102,1047
